City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,celano,42.0855,13.5398,16.45,61,1,0.45,IT,1715496405
1,atwater,37.3477,-120.6091,22.86,63,0,1.54,US,1715496407
2,camacupa,-12.0167,17.4833,18.01,53,9,1.69,AO,1715496407
3,grytviken,-54.2811,-36.5092,1.38,89,97,3.66,GS,1715496408
4,berezovyy,51.6667,135.7,4.12,86,100,3.25,RU,1715496409
5,dudinka,69.4058,86.1778,-2.96,97,100,2.68,RU,1715496409
6,badger,64.8,-147.5333,11.95,38,75,4.63,US,1715496410
7,port-aux-francais,-49.35,70.2167,7.62,93,97,13.9,TF,1715496410
8,isafjordur,66.0755,-23.124,3.99,96,100,3.18,IS,1715496411
9,yellowknife,62.456,-114.3525,-0.71,90,75,1.54,CA,1715496391
10,anadyr,64.75,177.4833,-0.72,74,100,2.0,RU,1715496412
11,margaret river,-33.95,115.0667,16.91,85,100,2.17,AU,1715496413
12,tazacorte,28.629,-17.9293,19.54,88,75,7.72,ES,1715496413
13,olonkinbyen,70.9221,-8.7187,0.87,97,100,7.98,SJ,1715496414
14,west island,-12.1568,96.8225,29.99,79,75,5.14,CC,1715496414
15,haciqabul,40.0408,48.9445,25.85,43,100,7.15,AZ,1715496415
16,sitka,57.0531,-135.33,7.94,66,100,2.06,US,1715496415
17,richards bay,-28.783,32.0377,20.41,88,100,2.92,ZA,1715496343
18,plastun,44.7561,136.2939,10.99,81,64,1.69,RU,1715496416
19,chonchi,-42.6128,-73.8092,1.73,93,15,1.37,CL,1715496417
20,puerto baquerizo moreno,-0.9,-89.6,22.83,87,79,3.82,EC,1715496418
21,tiksi,71.6872,128.8694,-3.55,80,100,1.95,RU,1715496418
22,waitangi,-43.9535,-176.5597,10.46,93,100,3.58,NZ,1715496419
23,sinabang,2.4803,96.3801,26.1,90,100,4.07,ID,1715496420
24,mutuali,-14.8706,37.0044,27.39,48,0,0.95,MZ,1715496421
25,talnakh,69.4865,88.3972,-3.22,96,100,4.3,RU,1715496422
26,adamstown,-25.066,-130.1015,20.36,65,0,3.66,PN,1715496424
27,yaren,-0.5472,166.916,29.01,70,8,4.21,NR,1715496425
28,manado,1.487,124.8455,29.43,79,40,2.57,ID,1715495958
29,bereznik,62.8551,42.7072,-1.15,84,100,3.62,RU,1715496426
30,san remo,43.8182,7.7612,22.09,74,24,2.22,IT,1715496426
31,edinburgh of the seven seas,-37.0676,-12.3116,15.64,88,100,6.28,SH,1715496427
32,la sarre,48.8002,-79.1996,6.13,91,77,1.88,CA,1715496428
33,bilibino,68.0546,166.4372,2.58,81,100,0.71,RU,1715496428
34,north bend,43.4065,-124.2243,12.92,94,100,4.12,US,1715496429
35,hammerfest,70.6634,23.6821,5.25,87,100,3.6,NO,1715496429
36,kunashak,55.7032,61.5498,18.94,30,100,10.49,RU,1715496430
37,skovorodino,53.9833,123.9167,13.67,23,10,4.72,RU,1715496158
38,cabo san lucas,22.8909,-109.9124,25.84,42,100,3.63,MX,1715496431
39,varadero,23.1536,-81.2514,23.42,82,0,1.69,CU,1715496432
40,albany,42.6001,-73.9662,10.23,86,100,0.45,US,1715496432
41,thompson,55.7435,-97.8558,5.09,93,100,5.66,CA,1715496433
42,island harbour,50.724,-1.2758,17.34,82,97,5.36,GB,1715496433
43,shimoda,34.6667,138.95,22.84,78,100,5.33,JP,1715496304
44,puerto natales,-51.7236,-72.4875,2.24,95,97,1.6,CL,1715496435
45,lorengau,-2.0226,147.2712,29.21,75,100,2.86,PG,1715496435
46,papatowai,-46.5619,169.4708,10.66,91,100,4.79,NZ,1715496436
47,ribeira grande,38.5167,-28.7,18.22,94,75,5.66,PT,1715496176
48,yanchep,-31.55,115.6833,28.67,45,100,2.61,AU,1715496437
49,ancud,-41.8697,-73.8203,5.24,80,58,1.84,CL,1715496437
50,ilulissat,69.2167,-51.1,0.01,80,100,1.54,GL,1715496438
51,bharatpur,27.2167,77.4833,39.87,18,18,2.88,IN,1715496439
52,san ignacio,17.1561,-89.0714,29.08,84,0,5.14,BZ,1715496439
53,la romana,18.4273,-68.9728,25.22,86,0,2.78,DO,1715496440
54,khandyga,62.6667,135.6,7.27,38,100,3.06,RU,1715496441
55,dogonbadan,30.3586,50.7981,31.05,23,0,2.06,IR,1715496441
56,sarina,-21.4333,149.2167,25.62,75,0,2.72,AU,1715496442
57,jampur,29.6441,70.5954,39.78,13,0,1.69,PK,1715496443
58,kananga,-5.8958,22.4178,26.32,71,29,1.49,CD,1715496443
59,san luis de la loma,17.2706,-100.8939,25.23,67,100,1.06,MX,1715496444
60,stanley,54.868,-1.6985,11.01,86,0,1.54,GB,1715496444
61,acajutla,13.5928,-89.8275,28.4,79,100,0.96,SV,1715496445
62,sirte,31.2089,16.5887,19.85,66,0,1.99,LY,1715496446
63,san luis del palmar,-27.5079,-58.5545,16.67,98,100,2.19,AR,1715496446
64,college,64.8569,-147.8028,11.99,37,100,4.63,US,1715496447
65,partizanske,48.6286,18.3846,17.25,66,38,0.58,SK,1715496447
66,blackmans bay,-43.0167,147.3167,14.18,80,8,0.45,AU,1715496448
67,chul'man,56.8479,124.9104,0.15,83,85,3.58,RU,1715496449
68,vadso,70.0744,29.7487,3.49,81,75,2.06,NO,1715496449
69,cascais,38.6979,-9.4215,16.95,81,20,12.86,PT,1715496450
70,trincomalee,8.5711,81.2335,30.51,72,100,5.29,LK,1715496450
71,laojunmiao,39.8333,97.7333,25.42,7,0,9.24,CN,1715496451
72,gumdag,39.2061,54.5906,33.42,14,75,4.01,TM,1715496451
73,utrik,11.2278,169.8474,27.22,83,100,8.27,MH,1715496452
74,tofol,5.3248,163.0078,29.88,79,75,3.6,FM,1715496453
75,lebu,-37.6167,-73.65,7.36,86,0,1.85,CL,1715496453
76,ushuaia,-54.8,-68.3,2.81,60,40,9.26,AR,1715496454
77,victoria,22.2855,114.1577,32.03,84,91,3.13,HK,1715496181
78,strelka,58.0728,93.0344,14.29,34,99,4.32,RU,1715496455
79,shingu,33.7333,135.9833,19.85,89,100,2.89,JP,1715496456
80,port lincoln,-34.7333,135.8667,17.19,58,9,0.84,AU,1715496456
81,salalah,17.0151,54.0924,32.05,66,40,3.09,OM,1715496315
82,tolanaro,-25.0319,46.9987,26.04,65,20,5.14,MG,1715496458
83,colonia,50.9333,6.95,19.68,67,0,3.09,DE,1715496238
84,trinidad,-14.8333,-64.9,23.28,77,0,1.87,BO,1715496459
85,san patricio,28.017,-97.5169,27.92,88,99,7.97,US,1715496460
86,oppdal,62.5943,9.6912,12.64,67,99,1.35,NO,1715496460
87,naxos,37.1056,25.3764,20.17,65,20,11.18,GR,1715496461
88,afaahiti,-17.75,-149.2833,25.93,79,13,5.58,PF,1715496462
89,elsmere,39.0126,-84.6047,12.14,81,40,2.06,US,1715496463
